Era,War,Death range,Date,Combatants,Location,Notes,Aliases,Description,Source
Ancient,Cimbrian War,"410,000–650,000",113 BC–101 BC,Roman Republic vs. Cimbri and Teutones,Western Europe,– Part of the Germanic Wars,,"The Cimbrian or Cimbric War (113–101 BC) was fought between the Roman Republic and the Germanic and Celtic tribes of the Cimbri and the Teutons, Ambrones and Tigurini, who migrated from the Jutland peninsula into Roman controlled territory, and clashed with Rome and her allies. The Cimbrian War was the first time since the Second Punic War that Italia and Rome itself had been seriously threatened.
",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Gallic Wars,"1,000,000+",58 BC–50 BC,Roman Republic vs. Gallic tribes,France,,,"The Gallic Wars were a series of military campaigns waged by the Roman proconsul Julius Caesar against numerous Gallic tribes between 58 BC and 50 BC. They culminated in the decisive Battle of Alesia in 52 BC, in which a complete Roman victory resulted in the expansion of the Roman Republic over the whole of Gaul (mainly present-day France and Belgium). While militarily just as strong as the Romans, the Gallic tribes' internal divisions helped ease victory for Caesar; Vercingetorix's attempt to unite the Gauls against Roman invasion came too late. Although Caesar portrayed the invasion as being a preemptive and defensive action, most historians agree he fought the wars primarily to boost his political career and to pay off his massive debts. Still, Gaul was of significant military importance to the Romans, as native tribes, both indigenous to Gaul and farther to the north, had attacked them several times. Conquering Gaul allowed Rome to secure the natural border of the Rhine river.",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Iceni Revolt,"150,000+",60–61,Roman Empire vs. Celtic tribes,England,Year is uncertain – Part of the Roman Conquest of Britain,,"In AD 60 or 61, when the Roman governor Gaius Suetonius Paulinus was campaigning on the island of Mona (modern Anglesey) on the northwest coast of Wales, Boudica led the Iceni, the Trinovantes, and others in revolt. They destroyed Camulodunum (modern Colchester), earlier the capital of the Trinovantes but at that time a colonia, a settlement for discharged Roman soldiers and site of a temple to the former Emperor Claudius. Upon hearing of the revolt, Suetonius hurried to Londinium (modern London), the 20-year-old commercial settlement that was the rebels' next target. He lacked sufficient numbers to defend the settlement, and he evacuated and abandoned Londinium. Boudica led a very large army of Iceni, Trinovantes, and others against a detachment of the Legio IX Hispana, defeating them, and burning Londinium and Verulamium.",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Jewish–Roman Wars,"1,270,000-2,000,000 [3]",66–136,Roman Empire vs. Jews,Middle East/North Africa,Deaths caused by Roman attempt to permanently root out Judaism included.,,"The Jewish–Roman wars were a series of large-scale revolts by the Jews of the Eastern Mediterranean against the Roman Empire between 66 and 135 CE. While the First Jewish–Roman War (66–73 CE) and the Bar Kokhba revolt (132–136 CE) were nationalist rebellions, striving to restore an independent Judean state, the Kitos War was more of an ethno-religious conflict, mostly fought outside Judea Province. Hence, some sources use the term Jewish-Roman Wars to refer only to the First Jewish–Roman War (66–73 CE) and the Bar Kokhba revolt (132–135 CE), while others include the Kitos War (115–117 CE) as one of the Jewish–Roman wars.",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,First Jewish–Roman War,"250,000–1,100,000[3]",66–73,Roman Empire vs. Jews,Middle East,– Part of Jewish–Roman Wars,,"The First Jewish–Roman War (66–73 CE), sometimes called the Great Jewish Revolt (Hebrew: המרד הגדול‎ ha-Mered Ha-Gadol), or The Jewish War, was the first of three major rebellions by the Jews against the Roman Empire, fought in Roman-controlled Judea, resulting in the destruction of Jewish towns, the displacement of its people and the appropriation of land for Roman military use, as well as the destruction of the Jewish Temple and polity.",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Kitos War,"440,000+",115–117,Roman Empire vs. Jews,Southern Europe / North Africa,"– Also known as the Second Jewish–Roman War
– Part of Jewish–Roman Wars",Second Jewish–Roman War,"The Kitos War was one of the major Jewish–Roman wars (66–136). The rebellions erupted in 115, when most the Roman armies were fighting Trajan's Parthian War on the eastern border of the Roman Empire. Major uprisings by Jews in Cyrenaica, Cyprus and Egypt spiralled out of control, resulting in a widespread slaughter of the remaining Roman garrisons and Roman citizens by Jewish rebels.",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Bar Kokhba Revolt,"580,000",132–136,Roman Empire vs. Jews,Middle East,"– Also known as the Third Jewish–Roman War
– Part of Jewish–Roman Wars",Third Jewish–Roman War,"The Bar Kokhba revolt was a rebellion of the Jews of the Roman province of Judea, led by Simon bar Kokhba, against the Roman Empire. Fought circa 132–136 CE, it was the last of three major Jewish–Roman wars, so it is also known as The Third Jewish–Roman War or The Third Jewish Revolt. Some historians also refer to it as the Second Revolt of Judea, not counting the Kitos War (115–117 CE), which had only marginally been fought in Judea.",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Gothic War (269),"320,000+",269,Roman Empire vs. Goths,Europe,"Claudius II defeated the Goths, of whom 320,000 were slain. This number is from the Historia Augusta. – Part of the Germanic Wars",,"At the Battle of Naissus, Claudius and his legions routed a huge Gothic army. Together with his cavalry commander, the future Emperor Aurelian, the Romans took thousands of prisoners, destroyed the Gothic cavalry as a force, and stormed their laager (a circular alignment of wagons long favored by the Goths). The victory earned Claudius his surname of ""Gothicus"" (conqueror of the Goths), and that is how he is known to this day. More importantly, the Goths were soon driven back across the Danube River by Aurelian, and nearly a century passed before they again posed a serious threat to the empire.",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Probus's German War,"400,000+",277,Roman Empire vs. Germans,Europe,"Emperor Probus informed the Senate that he had killed 400,000 Germans. From the Historia Augusta. – Part of the Germanic Wars",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Gothic War (376–382),"40,000+",376–382,Roman Empire vs. Goths,Eastern Europe,– Part of the Germanic Wars,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Three Kingdoms War,"36,000,000–40,000,000",184–280,Wei vs. Shu vs. Wu,China,"[4][5] – Academically, the period of the Three Kingdoms refers to the period between the foundation of the state of Wei in 220 and the conquest of the state of Wu by the Jin dynasty in 280. The earlier, ""unofficial"" part of the period, from 184 to 220, was marked by chaotic infighting between warlords in various parts of China.
See: End of the Han Dynasty",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Yellow Turban Rebellion,"3,000,000–7,000,000",184–205,Peasants vs. Eastern Han China,China,– Part of Three Kingdoms War,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Wars of the Sixteen Kingdoms,"150,000+",304–439,Northern Chinese States,Northern China,"Number given is the sum of all deaths in battle recorded in this time period in battles between armies of the Sixteen Kingdoms, does not take into account civilian deaths, the actual number may be much greater.",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient,Hunnic Reclaims,"165,000+",395–453,Roman Empire vs. Hunnic Empire,Europe,"Number given is the sum of all deaths in battle recorded by Roman writers during this time period, does not take into account civilian deaths, the actual number may be much greater.",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Moorish Wars,"5,000,000+",534–548,Moors vs. Byzantine Empire,North Africa,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Arab–Byzantine Wars,"130,000+",629–1050,Byzantine Empire and allies vs. Islamic Empire and Allies,Middle East / North Africa / Southern Europe,"Number given is the sum of all deaths in battle recorded by writers during this time period, does not take into account civilian deaths, the actual number may be much greater.",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Reconquista,"7,000,000-10,000,000",711–1492,Spanish and Portuguese states vs. Muslim states,Iberian Peninsula,[6],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Goguryeo–Sui War,"300,000+",598-614,Sui Dynasty China and Goguryeo Kingdom,"China, Korea",[7],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,An Lushan Rebellion,"13,000,000–36,000,000",755–763,Tang Dynasty China and Islamic Empire vs. Yan state,China,[8] – Also known as the An–Shi Rebellion,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Goryeo–Khitan Wars,"90,000+",993–1019,Liao Empire vs. Goryeo Kingdom,Korea,[9],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Lý–Song War,"600,000+",1075–1077,Song Empire vs. Dai Viet Kingdom under Lý dynasty,"China, Vietnam",[10][11],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Crusades,"1,000,000–3,000,000",1095–1291,"Originally Byzantine Empire vs. Seljuq Empire, but evolved into Christians vs. Muslims.","Europe / Middle East (""Holy Land"")",[12],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Albigensian Crusade,"200,000–1,000,000",1208–1229,Papal States and France vs. Cathartic States,France,"[13][14] – Also known as the Cathar Crusade
– Part of the Crusades",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Mongol conquests,"30,000,000–40,000,000",1206–1368,Mongol Empire vs. Several Eurasian states,Eurasia,"[15][16][17] – Excludes the (up to) 200,000,000 deaths from the Black Death migration that may have been associated with the Mongol expansion",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Wars of Scottish Independence,"60,000-150,000",1296–1357,Scotland vs. England,Scotland / England,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Hundred Years' War,"2,300,000–3,300,000",1337–1453,House of Valois vs. House of Plantagenet,Western Europe,[18],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Conquests of Timur,"8,000,000–20,000,000",1370–1405,Timurid Empire vs. several middle eastern states,Eurasia,[19][20],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Medieval,Wars of the Roses,"35,000–50,000",1455–1487,"House of Lancaster, House of Tudor, and allies vs. House of York and allies",England / Wales,[21][better source needed],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Italian Wars,"300,000–400,000",1494–1559,"Holy Roman Empire, Spain, and some Italian States vs. France, Ottoman Empire, and some Italian states",Southern Europe,[22] – Also known as the Great Wars of Italy,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Spanish conquest of the Aztec Empire,"2,300,000+",1519–1632,Spanish Colonial Empire vs. Aztec Empire,Mexico,"[22] – Part of the European colonization of the Americas, includes the cocoliztli plagues",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Spanish conquest of Yucatán,"1,460,000+",1519–1595,Spanish Colonial Empire vs. Mayan States,North America,"[22] – Part of the European colonisation of the Americas, includes deaths due to European disease",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Spanish conquest of the Inca Empire,"8,400,000+",1533–1572,Spanish Colonial Empire vs. Inca Empire,Peru,"[22] – Part of the European colonization of the Americas, includes deaths due to European diseases",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Campaigns of Suleiman the Magnificent,"200,000+",1521–1566,"Ottoman Empire vs. several Balkan, African, and Arabian States",Eastern Europe / Middle East / North Africa,[23],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,German Peasants' War,"100,000+",1524–1525,German Peasants vs. Swabian League,Germany,[24] – Also known as the Great Peasants War,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,French Wars of Religion,"2,000,000–4,000,000",1562–1598,Protestants vs. France vs. Catholics,France,[25] – Also known as the Huguenot Wars,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Eighty Years' War,"600,000–700,000",1568–1648,"Dutch Republic, England, Scotland, and France vs. Spanish Empire",Worldwide,[22] – Also known as the Dutch War of Independence,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Anglo-Spanish War (1585–1604),"138,285+",1585–1604,Spanish Empire and allies vs. Kingdom of England and allies,Europe / Americas,"English: 88,285[26], Scots/Irish: 50,000",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Japanese invasions of Korea,"1,000,000+",1592–1598,Kingdom of Great Joseon and Ming China vs. Japan,Korea,[27],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Transition from Ming to Qing,"25,000,000+",1616–1683,Qing China vs. Ming China vs. Shun dynasty China (Li Zicheng) vs. Xi dynasty China (Zhang Xianzhong vs. Kingdom of Shu (She-An Rebellion) vs. Evenk-Daur federation (Bombogor),China,[28] – Also known as the Ming–Qing transition,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Thirty Years' War,"4,000,000–12,000,000",1618–1648,Pro-Habsburg states vs. Anti-Habsburg states,Europe,[29],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Franco-Spanish War (1635–59),"200,000+",1635–1659,France and Allies vs. Spain and Allies,Western Europe,[23][30],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Wars of the Three Kingdoms,"876,000+",1639–1651,Royalists vs. Covenanters vs.Union of the Irish vs. Scottish Protestants vs. Parliamentarians,British Isles,[31][32][33] – Also known as the British Civil Wars,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,English Civil War,"356,000–735,000",1642–1651,Royalists vs. Parliamentarians,England,[34] – Part of the Wars of the Three Kingdoms,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Mughal–Maratha Wars,"5,000,000+",1658-1707,Maratha empire vs. Mughal Empire,India-Bangladesh,[35][36],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Franco-Dutch War,"220,000+",1672–1678,France and allies vs. Dutch Republic and allies,Western Europe,[23] – Also known as the Dutch War,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Great Turkish War,"380,000+",1683–1699,Ottoman Empire vs. European Holy League,Eastern Europe,[23] – Also known as the War of the Holy League,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Great Northern War,"350,000+",1700–1721,Russia and allies vs. Swedish Empire,Eastern Europe,"Sweden, the Swedish Baltic provinces, and Finland, together, with a population of only 2.5 million, lost some 350,000 dead during the war from all causes.",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,War of the Spanish Succession,"400,000–1,250,000",1701–1714,Grand Alliance vs. Bourbon Alliance,Europe / Americas,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Maratha expeditions in Bengal,"400,000+",1741–1751,Maratha Empire vs. Nawab of Bengal,India,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Seven Years' War,"868,000–1,400,000",1756–1763,Great Britain and allies vs. France and Allies,Worldwide,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Sino-Burmese War (1765–69),"70,000+",1765–1769,Burma vs. Qing China,Southeast Asia,,Qing invasions of Burma,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Tây Sơn rebellion,"1,200,000–2,000,000+",1771–1802,"Tây Sơn rebels then dynasty (British supports) and Chinese pirates vs Nguyễn lords, Trịnh lords, Lê dynasty of Vietnam; Siam; Qing dynasty of China; Kingdom of Vientiane; French army.",Southeast Asia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,American Revolutionary War,"37,324+",1775–1783,United States and allies vs. British Empire and German Mercenaries,Worldwide,"37,324 battle dead, all sides, all theaters.",American War of Independence,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,French campaign in Egypt and Syria,"65,000+",1798–1801,France vs. Ottoman Empire and Great Britain,Middle East / North Africa,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Saint-Domingue expedition,"135,000+",1802–1803,France vs. Haiti and UK,Haiti,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Napoleonic Wars,"3,500,000–7,000,000",1803–1815,Coalition powers vs. French empire and allies,Worldwide,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,French invasion of Russia,"540,000+",1812,French Empire vs. Russia,Russia,Part of the Napoleonic Wars,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Spanish American Wars of Independence,"600,000+",1808–1833,Spain and Portugal vs. American Independentists,Americas,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Venezuelan War of Independence,"228,000+",1810–1823,Spain vs. Venezuelan states,Venezuela,Part of Spanish American Wars of Independence,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Mfecane,"1,500,000–2,000,000",1815–1840,Ethnic communities in south Africa,Southern Africa,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Carlist Wars,"200,000+",1820–1876,Carlist Insurgents vs. Spain,Spain,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Greek War of Independence,"170,000+",1821–1831,Greek Revolutionaries vs. Ottoman Empire,Greece,"The war started between Greek Revolutionaries and the Ottoman Empire. The Greeks were later assisted by Russia, Great Britain, and France. The war led to the formation of modern Greece.",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,French conquest of Algeria,"480,000–1,000,000",1830–1903,France vs. Algerian resistance,Algeria,"The war started between France and the Deylik of Algiers, which was an Ottoman vassal, but after the early capitulation of the Deylik, resistance was led by different groups.",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Taiping Rebellion,"20,000,000–70,000,000",1850–1864,Qing China vs. Taiping Heavenly Kingdom,China,,Taiping Civil War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Crimean War,"356,000–410,000",1853–1856,Ottoman Empire and allies vs. Russia,Crimean Peninsula,One of the first wider uses of rifles,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Panthay Rebellion,"890,000–1,000,000",1856–1873,Qing China vs. Hui,China,,Du Wenxiu Rebellion,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Indian Rebellion of 1857,"800,000–1,000,000",1857–1858,Sepoy Mutineers vs. British East India Company,India,,"Sepoy Mutiny, Indian First War of Independence",,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,American Civil War,"650,000–1,000,000",1861–1865,Union States vs. Confederate States,USA,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Dungan Revolt,"8,000,000–20,000,000",1862–1877,Qing China vs. Hui vs. Kashgaria,China,,Tongzhi Hui Revolt,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,French intervention in Mexico,"49,287+",1862–1867,Mexican Republicans vs. France and Mexican Empire,Mexico,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Paraguayan War,"300,000–1,200,000",1864–1870,Triple alliance vs. Paraguay,South America, ,War of the Triple Alliance,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Ten Years' War,"241,000+",1868–1878,Spain vs. Cuba,Cuba,,Great War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Conquest of the Desert,"30,000–35,000",1870s–1884,Argentina vs. Mapuche people,Patagonia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Aceh War,"97,000–107,000",1873–1914,Kingdom of the Netherlands vs. Aceh Sultanate,Indonesia,,Infidel War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,First Sino–Japanese War,"48,311+",1894–1895,Qing China vs. Japan,East Asia,A large factor in the weakening of Qing China.,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Cuban War of Independence,"362,000+",1895–1898,USA and Cuba vs. Spain,Cuba,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Thousand Days' War,"120,000+",1899–1902,Colombian Conservatives vs. Colombian Liberals,Colombia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,South African War (Second Boer War),"73,000–90,000",1899-1902,United Kingdom and allies vs. South African Republic and Orange Free State,South Africa,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Philippine–American War,"234,000+",1899–1912,Philippines vs. USA,Philippines,,Philippine War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Mexican Revolution,"500,000–2,000,000",1910–1920,Revolutionary Forces vs. Anti-Revolutionary Forces,Mexico,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Balkan Wars,"140,000+",1912–1913,see Balkan wars,Balkan Peninsula,The war restricted Ottoman control in Europe to territories around Istanbul,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,World War I,"16,000,000–40,000,000+ (the higher estimate also includes the first victims of the related Spanish flu epidemic who died by the end of 1918. Neither includes the subsequent Russian Civil War)",1914–1918,Allied Powers vs. Central Powers,Worldwide,,Great War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
